file	nuc_num	celltype	area	dapi_intensity	a647_intensity	a488_intensity
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	1	NES	28893	1817638415.000000	310767291.000000	493906331.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	2	NES	22463	1614625415.000000	245423283.000000	460052252.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	3	NES	38825	3291882994.000000	420076568.000000	750928770.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	4	NES	30913	2068870593.000000	359976239.000000	606024052.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	5	NES	36459	3515933756.000000	445949970.000000	798918952.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	6	NES	27091	1833241640.000000	294496844.000000	500165211.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	7	NES	26864	1911723521.000000	293428940.000000	506964999.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	8	NES	21180	1669521601.000000	232761262.000000	402111095.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	9	NES	26827	1913661655.000000	290454754.000000	501187252.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	10	NES	37325	2676305329.000000	450943393.000000	777514023.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	11	NES	14185	1283593371.000000	155567329.000000	291798468.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	12	NES	32676	1997401903.000000	349621941.000000	562962913.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	13	NES	20783	1692890993.000000	238270827.000000	428564468.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	14	NES	35875	3446504130.000000	426466359.000000	826301571.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	15	NES	26725	1876506965.000000	293128481.000000	505545193.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	16	NES	23491	1698463865.000000	258751594.000000	465342947.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	17	NES	32524	1931061318.000000	352409256.000000	493779908.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	18	NES	29819	1729049069.000000	326669319.000000	602478501.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	19	NES	23200	1681975089.000000	256041988.000000	432827663.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	20	NES	25177	1867701911.000000	278651321.000000	510874306.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	21	NES	25230	1832377895.000000	277238310.000000	504906039.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	22	NES	30503	1919434344.000000	358763626.000000	446683536.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	23	NES	27760	1761043181.000000	298469801.000000	465531948.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	24	NES	21039	1709167718.000000	230704594.000000	449009211.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	25	NES	32152	3158477598.000000	360465630.000000	671872014.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	26	NES	37740	3815294707.000000	412229124.000000	738978971.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	27	NES	31489	1951731730.000000	336831671.000000	692090496.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	28	NES	22472	1732641628.000000	246526952.000000	414653715.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	29	NES	25665	1702584659.000000	269583968.000000	438610503.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	30	NES	27872	1981752263.000000	304603339.000000	585932655.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	31	NES	21468	1677770459.000000	235487501.000000	435569089.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_001/dw_dapi_001.tiff	32	NES	35399	1872388700.000000	387545574.000000	535951384.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	1	NES	29599	2371319761.000000	349547300.000000	582156559.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	2	NES	27352	1844828562.000000	301709457.000000	534643148.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	3	NES	38896	3552589534.000000	480858341.000000	881801371.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	4	NES	25113	2477805289.000000	307049569.000000	575364953.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	5	NES	24118	1710511944.000000	262306805.000000	479763668.000000
/srv/secondary/ki/hd/20220325_Roberto_262_263_264/iiRB262_20220313_002/dw_dapi_001.tiff	6	NES	32765	2964822936.000000	412749304.000000	670489154.000000
